Year,Province,Total PRs,Total TRs,Total Births,Total Deaths,Population Estimate,Net Migration Rate,Natural Growth Rate,Net Migration,Natural Increase,Net Population Change,Population Growth Rate (%)
1991,Alberta,0,0,256630,28902,2587477.25,0,0,0,0,0,0
1992,Alberta,0,0,252156,29358,2627162.5,0,0,0,0,0,0
1993,Alberta,0,0,241708,30676,2663773.5,0,0,0,0,0,0
1994,Alberta,0,0,238700,31226,2696101.5,0,0,0,0,0,0
1995,Alberta,0,0,233448,31790,2730105.25,0,0,0,0,0,0
1996,Alberta,0,0,227096,32782,2770297.5,0,0,0,0,0,0
1997,Alberta,0,0,221394,32904,2822523,0,0,0,0,0,0
1998,Alberta,0,0,227408,33590,2887726.25,0,0,0,0,0,0
1999,Alberta,0,0,229012,34412,2945711.5,0,0,0,0,0,0
2000,Alberta,0,9430,221988,34546,2996031.75,3.147496684572852,0,0,0,0,0
2001,Alberta,0,10640,225662,35158,3051622.25,3.4866700817901037,0,0,0,0,0
2002,Alberta,0,11065,232118,36468,3118801.5,3.5478372060549543,0,0,0,0,0
2003,Alberta,0,11580,241710,37170,3176503.75,3.6455174970279827,0,0,0,0,0
2004,Alberta,0,11755,244572,37350,3233188.5,3.6357298685183372,0,0,0,0,0
2005,Alberta,0,12200,252600,38576,3310477,3.685269524603252,0,0,0,0,0
2006,Alberta,0,12380,271360,39080,3411010,3.6294235431734294,0,0,0,0,0
2007,Alberta,0,13110,294070,40404,3502798.25,3.7427219794916824,0,0,0,0,0
2008,Alberta,0,13775,305064,42158,3582868.25,3.8446850508667185,0,0,0,0,0
2009,Alberta,0,15090,310296,41974,3667767,4.114219905462916,0,0,0,0,0
2010,Alberta,0,15400,305020,41510,3724157,4.135164011613903,0,0,0,0,0
2011,Alberta,0,17735,306230,42484,3778993,4.693049180032882,0,0,0,0,0
2012,Alberta,0,19305,315728,44002,3859302.75,5.002198907561735,0,0,0,0,0
2013,Alberta,0,21840,320362,45688,3962293.75,5.511958824355211,0,0,0,0,0
2014,Alberta,0,23155,334806,46720,4066082,5.6946711846932745,0,0,0,0,0
2015,Alberta,1900,25500,341428,47692,4138208.75,6.621222286091778,70.98143611049105,27400,293736,321136,1.7738636358046955
2016,Alberta,4685,27210,335448,49096,4189191.5,7.613640961507728,68.35495584291145,31895,286352,318247,1.2320004398038265
2017,Alberta,4425,28690,322054,51080,4232819.75,7.823390069940966,64.01737281631235,33115,270974,304089,1.0414479739109472
2018,Alberta,3045,32170,314926,51992,4286099,8.216095801800192,61.34575986,35215,262934,298149,1.258717666869713
2019,Alberta,2550,35010,310588,52284,4348515,8.637431399,59.400507989509066,37560,258304,295864,1.4562426112882498
2020,Alberta,2840,29545,294212,58468,4404480.25,7.352740428339984,53.52368193727285,32385,235744,268129,1.2869968253530262
2021,Alberta,2670,35055,299588,62526,4431360.5,8.513186864395257,53.49643749363203,37725,237062,274787,0.6102933484603446
2022,Alberta,3370,45125,284630,65290,4503729,10.76774379630746,48.70186461041506,48495,219340,267835,1.6330989094658355
2023,Alberta,5705,67410,289532,64108,4666165.25,15.669183597816216,48.310333629954485,73115,225424,298539,3.606705687664591
2024,Alberta,5455,5790,0,0,4863680.75,2.3120349747462354,0,0,0,0,0
1991,British Columbia,0,0,273628,47954,3367589,0,0,0,0,0,0
1992,British Columbia,0,0,276856,49230,3459366.25,0,0,0,0,0,0
1993,British Columbia,0,0,275950,51528,3558490.75,0,0,0,0,0,0
1994,British Columbia,0,0,281520,51878,3664473,0,0,0,0,0,0
1995,British Columbia,0,0,280526,52750,3766198,0,0,0,0,0,0
1996,British Columbia,0,0,276536,55072,3862539.75,0,0,0,0,0,0
1997,British Columbia,0,0,267264,54824,3939701.5,0,0,0,0,0,0
1998,British Columbia,0,0,258266,55956,3981074.25,0,0,0,0,0,0
1999,British Columbia,0,0,251482,56034,4007762.75,0,0,0,0,0,0
2000,British Columbia,0,32885,243932,54920,4037127.5,8.145643158409042,0,0,0,0,0
2001,British Columbia,0,41120,243272,56706,4070963,10.10080415862291,0,0,0,0,0
2002,British Columbia,0,44250,240180,57766,4097537.25,10.799169671977968,0,0,0,0,0
2003,British Columbia,0,46405,242814,58640,4121031.5,11.260530282284908,0,0,0,0,0
2004,British Columbia,0,47505,242794,59846,4152310.75,11.44061773315015,0,0,0,0,0
2005,British Columbia,0,49180,244862,60454,4191434.5,11.733453069587512,0,0,0,0,0
2006,British Columbia,0,50750,250330,61376,4236595.5,11.978958104449669,0,0,0,0,0
2007,British Columbia,0,53070,261738,62616,4286277,12.381374325551056,0,0,0,0,0
2008,British Columbia,0,55120,265476,64190,4342957.25,12.691812704350244,0,0,0,0,0
2009,British Columbia,0,60035,269784,62880,4404782.25,13.62950461399085,0,0,0,0,0
2010,British Columbia,0,65135,262682,62648,4461067.75,14.600764581528717,0,0,0,0,0
2011,British Columbia,0,67050,264582,63932,4500944,14.896874966673657,0,0,0,0,0
2012,British Columbia,0,70140,264136,65048,4564451.75,15.366577157924826,0,0,0,0,0
2013,British Columbia,0,74065,262522,66400,4629484.75,15.99854065833136,0,0,0,0,0
2014,British Columbia,0,80880,266092,67582,4704528.25,17.191946929003986,0,0,0,0,0
2015,British Columbia,1910,90215,265610,70492,4769093.75,19.317087234865113,40.91301413397461,92125,195118,287243,1.3724117822015325
2016,British Columbia,3840,103075,271458,73254,4846627.75,22.059668188876277,40.89523896280254,106915,198204,305119,1.6257596110372141
2017,British Columbia,3625,119470,267760,76980,4925006.5,24.993875642600678,38.73700471258261,123095,190780,313875,1.6171811420838011
2018,British Columbia,4045,137040,261408,76946,5009884.5,28.161327870931956,36.81961131040047,141085,184462,325547,1.7234088929628744
2019,British Columbia,2640,148805,260802,77122,5100179,29.69405583607948,36.01442223890573,151445,183680,335125,1.8023269797936559
2020,British Columbia,4210,123415,253420,82664,5169146.25,24.68976380770809,33.03369488,127625,170756,298381,1.3522515582296224
2021,British Columbia,3240,141540,264146,89174,5218563.75,27.74326556804063,33.52876545773729,144780,174972,319752,0.9560089347443013
2022,British Columbia,6825,170700,250770,91626,5341279.25,33.23641990820832,29.795109476816812,177525,159144,336669,2.351518653001028
2023,British Columbia,7990,212220,247362,89492,5511693.5,39.95323760292549,28.642739296007658,220210,157870,378080,3.1905137706477404
2024,British Columbia,7280,11590,0,0,5678218.25,3.3232255558334693,0,0,0,0,0
1991,Manitoba,0,0,103642,17886,1108239.25,0,0,0,0,0,0
1992,Manitoba,0,0,99530,17960,1111731.5,0,0,0,0,0,0
1993,Manitoba,0,0,100274,18598,1116488.75,0,0,0,0,0,0
1994,Manitoba,0,0,98836,18296,1121910,0,0,0,0,0,0
1995,Manitoba,0,0,96678,19316,1127719.5,0,0,0,0,0,0
1996,Manitoba,0,0,92856,18994,1132782,0,0,0,0,0,0
1997,Manitoba,0,0,87906,19022,1135655,0,0,0,0,0,0
1998,Manitoba,0,0,86742,19630,1136941,0,0,0,0,0,0
1999,Manitoba,0,0,85824,19720,1141378.5,0,0,0,0,0,0
2000,Manitoba,0,2830,84508,19784,1146449.25,2.468491300421715,0,0,0,0,0
2001,Manitoba,0,3205,84010,19468,1150433.75,2.785905750765744,0,0,0,0,0
2002,Manitoba,0,3715,83306,19698,1155379.5,3.215393729938951,0,0,0,0,0
2003,Manitoba,0,4250,83580,19734,1162078.5,3.6572400229416515,0,0,0,0,0
2004,Manitoba,0,4710,82882,19806,1171468.5,4.020594663877006,0,0,0,0,0
2005,Manitoba,0,4950,84796,19712,1177669,4.203218391585412,0,0,0,0,0
2006,Manitoba,0,4990,87374,19548,1182270.75,4.2206914109987075,0,0,0,0,0
2007,Manitoba,0,5065,91688,19916,1188011.5,4.2634267429229435,0,0,0,0,0
2008,Manitoba,0,4735,92980,20146,1196341.75,3.957899153816207,0,0,0,0,0
2009,Manitoba,0,5090,95710,19944,1206538.5,4.218680133,0,0,0,0,0
2010,Manitoba,0,5250,94678,19970,1219001,4.306805326656828,0,0,0,0,0
2011,Manitoba,0,6480,93746,20500,1231752.75,5.260796048557634,0,0,0,0,0
2012,Manitoba,0,7955,98148,20124,1247151.25,6.378536685105355,0,0,0,0,0
2013,Manitoba,0,9470,98798,20190,1261767.5,7.505344685134147,0,0,0,0,0
2014,Manitoba,0,10815,99358,21418,1275545.5,8.478725376711376,0,0,0,0,0
2015,Manitoba,715,12255,100072,21368,1290665.25,10.04908127804634,60.979405775432475,12970,78704,91674,1.1853555988398767
2016,Manitoba,1185,14220,101344,21486,1311168.75,11.749059760614339,60.90596652795455,15405,79858,95263,1.5885993676516774
2017,Manitoba,1105,16890,102170,22132,1331885.25,13.510923707579163,60.09376558528597,17995,80038,98033,1.5800025740393853
2018,Manitoba,970,19505,102428,22080,1350414.25,15.162014174539404,59.49877973,20475,80348,100823,1.391185914852655
2019,Manitoba,840,20195,100426,22368,1367580,15.381184281723922,57.077465303675105,21035,78058,99093,1.2711469832312527
2020,Manitoba,1050,17680,99076,23982,1379626,13.576143099651645,54.430693535784336,18730,75094,93824,0.8808259845859201
2021,Manitoba,1410,20550,93964,23190,1390137.75,15.79699565744474,50.91150139617459,21960,70774,92734,0.7619275078898147
2022,Manitoba,1490,22970,83102,25120,1410050.5,17.346896440943073,41.12051305963865,24460,57982,82442,1.432429987603756
2023,Manitoba,2795,30295,91332,25160,1449196.75,22.833338537365613,45.661156775296384,33090,66172,99262,2.7762303548702683
2024,Manitoba,2210,2485,0,0,1488820.75,3.153502528763117,0,0,0,0,0
1991,New Brunswick,0,0,56978,10938,744716.5,0,0,0,0,0,0
1992,New Brunswick,0,0,56320,11218,747417.5,0,0,0,0,0,0
1993,New Brunswick,0,0,54288,11612,748619.5,0,0,0,0,0,0
1994,New Brunswick,0,0,53870,11834,749964.75,0,0,0,0,0,0
1995,New Brunswick,0,0,51382,11876,750907,0,0,0,0,0,0
1996,New Brunswick,0,0,49056,11792,752061.75,0,0,0,0,0,0
1997,New Brunswick,0,0,47520,11888,752385,0,0,0,0,0,0
1998,New Brunswick,0,0,47292,12610,751071.75,0,0,0,0,0,0
1999,New Brunswick,0,0,45674,12148,750361.5,0,0,0,0,0,0
2000,New Brunswick,0,1825,44106,12176,750524.5,2.4316328114538566,0,0,0,0,0
2001,New Brunswick,0,2305,43162,12124,749656.25,3.074742590353912,0,0,0,0,0
2002,New Brunswick,0,2775,42268,12192,749052,3.7046827189567613,0,0,0,0,0
2003,New Brunswick,0,3025,42696,12514,749355.75,4.0368009453453855,0,0,0,0,0
2004,New Brunswick,0,3200,41780,12494,749301.25,4.270645484709921,0,0,0,0,0
2005,New Brunswick,0,3225,41362,12350,748359,4.309429030719214,0,0,0,0,0
2006,New Brunswick,0,3120,42172,12020,745979,4.182423365805204,0,0,0,0,0
2007,New Brunswick,0,3195,42880,12648,745337.25,4.286650104,0,0,0,0,0
2008,New Brunswick,0,3210,44426,12900,746863.75,4.297972689128372,0,0,0,0,0
2009,New Brunswick,0,3260,44344,12732,749640.5,4.3487511680598905,0,0,0,0,0
2010,New Brunswick,0,3465,44122,12624,752655.75,4.603698304304459,0,0,0,0,0
2011,New Brunswick,0,3780,42754,12822,755353.75,5.004277796992469,0,0,0,0,0
2012,New Brunswick,0,4115,42336,12886,757648,5.431282072941524,0,0,0,0,0
2013,New Brunswick,0,4575,41736,13254,758130,6.034585097542638,0,0,0,0,0
2014,New Brunswick,0,4705,41878,13644,758783,6.200718782576836,0,0,0,0,0
2015,New Brunswick,125,4715,39586,14452,759261.5,6.374615333452309,33.103219378303784,4840,25134,29974,0.063061508
2016,New Brunswick,710,4765,39722,14330,762784.5,7.177649781819111,33.28856315250244,5475,25392,30867,0.46400350867257245
2017,New Brunswick,210,5015,39238,14988,766049.25,6.820710287230227,31.65592812733646,5225,24250,29475,0.4280042397295736
2018,New Brunswick,285,5975,38208,15310,770035.75,8.129492689138134,29.73628172458227,6260,22898,29158,0.5203973504314563
2019,New Brunswick,210,7135,37656,15592,776407.5,9.460238341,28.41806654366425,7345,22064,29409,0.8274615821408204
2020,New Brunswick,395,5685,37250,14990,782703,7.767952850570396,28.439906324621216,6080,22260,28340,0.810849972
2021,New Brunswick,260,8215,38790,16204,789621.5,10.732990426425825,28.60357779011843,8475,22586,31061,0.8839240427084061
2022,New Brunswick,600,11700,37288,18310,806726.5,15.24680297473803,23.52470137029092,12300,18978,31278,2.166227743292204
2023,New Brunswick,1200,16385,36294,17304,829690.25,21.194656680610628,22.88805973072481,17585,18990,36575,2.846534730171868
