Year,Province,Total PRs,Total TRs,Total Births,Total Deaths,Population Estimate
1991,Alberta,0,0,1026520,115608,2604031
1991,British Columbia,0,0,1094512,191816,3404049
1991,Manitoba,0,0,414568,71544,1109400
1991,New Brunswick,0,0,227912,43752,745886
1991,Newfoundland and Labrador,0,0,171872,30384,579549
1991,Northwest Territories,0,0,29436,1422,60878
1991,Nova Scotia,0,0,288448,58040,916896
1991,Ontario,0,0,3637264,583336,10465562
1991,Prince Edward Island,0,0,45184,9504,130360
1991,Quebec,0,0,2326616,392968,7080336
1991,Saskatchewan,0,0,367448,64784,1000942
1991,Unknown province or territory,0,0,0,2,1000942
1991,Yukon,0,0,13624,912,29142
1992,Alberta,0,0,1008624,117432,2643421
1992,British Columbia,0,0,1107424,196920,3502209
1992,Manitoba,0,0,398120,71840,1113209
1992,New Brunswick,0,0,225280,44872,747746
1992,Newfoundland and Labrador,0,0,165984,30384,579624
1992,Northwest Territories,0,0,9322,512,579624
1992,Nova Scotia,0,0,285408,60352,921619
1992,Ontario,0,0,3618648,585648,10610665
1992,Prince Edward Island,0,0,44376,8912,131201
1992,Quebec,0,0,2300376,390592,7129062
1992,Saskatchewan,0,0,360216,62344,1002960
1992,Unknown province or territory,0,0,0,0,1002960
1992,Yukon,0,0,12696,936,30034
1993,Alberta,0,0,966832,122704,2678623
1993,British Columbia,0,0,1103800,206112,3601746
1993,Manitoba,0,0,401096,74392,1118603
1993,New Brunswick,0,0,217152,46448,749454
1993,Newfoundland and Labrador,0,0,154096,31120,578194
1993,Northwest Territories,0,0,9356,520,578194
1993,Nova Scotia,0,0,278440,60472,925851
1993,Ontario,0,0,3554848,606824,10728737
1993,Prince Edward Island,0,0,42080,9160,132467
1993,Quebec,0,0,2216992,413688,7172016
1993,Saskatchewan,0,0,342648,65312,1007016
1993,Unknown province or territory,0,0,0,0,1007016
1993,Yukon,0,0,12184,984,30016
1994,Alberta,0,0,954800,124904,2709011
1994,British Columbia,0,0,1126080,207512,3711468
1994,Manitoba,0,0,395344,73184,1124263
1994,New Brunswick,0,0,215480,47336,750670
1994,Newfoundland and Labrador,0,0,152056,32400,572068
1994,Northwest Territories,0,0,9472,482,572068
1994,Nova Scotia,0,0,267528,62160,927778
1994,Ontario,0,0,3548920,619896,10860406
1994,Prince Edward Island,0,0,41152,8912,133800
1994,Quebec,0,0,2173272,410920,7201106
1994,Saskatchewan,0,0,337064,66464,1010784
1994,Unknown province or territory,0,0,12,2,1010784
1994,Yukon,0,0,10600,992,29606
1995,Alberta,0,0,933792,127160,2745255
1995,British Columbia,0,0,1122104,211000,3805461
1995,Manitoba,0,0,386712,77264,1129547
1995,New Brunswick,0,0,205528,47504,751174
1995,Newfoundland and Labrador,0,0,140544,31480,565008
1995,Northwest Territories,0,0,9674,454,565008
1995,Nova Scotia,0,0,259168,61496,930028
1995,Ontario,0,0,3517544,627832,10993416
1995,Prince Edward Island,0,0,42056,9224,134971
1995,Quebec,0,0,2096832,421872,7228600
1995,Saskatchewan,0,0,324064,67960,1015349
1995,Unknown province or territory,0,0,0,0,1015349
1995,Yukon,0,0,11264,1256,30875
1996,Alberta,0,0,908384,131128,2789691
1996,British Columbia,0,0,1106144,220288,3899256
1996,Manitoba,0,0,371424,75976,1134619
1996,New Brunswick,0,0,196224,47168,752526
1996,Newfoundland and Labrador,0,0,137888,31424,557281
1996,Northwest Territories,0,0,9388,544,557281
1996,Nova Scotia,0,0,255264,62008,932276
1996,Ontario,0,0,3369224,632792,11130574
1996,Prince Edward Island,0,0,40616,10144,136004
1996,Quebec,0,0,2035152,418688,7257616
1996,Saskatchewan,0,0,319400,70120,1019408
1996,Unknown province or territory,0,0,0,42,1019408
1996,Yukon,0,0,10632,960,31596
1997,Alberta,0,0,885576,131616,2847526
1997,British Columbia,0,0,1069056,219296,3964677
1997,Manitoba,0,0,351624,76088,1135649
1997,New Brunswick,0,0,190080,47552,752248
1997,Newfoundland and Labrador,0,0,129864,34544,547639
1997,Northwest Territories,0,0,8822,516,547639
1997,Nova Scotia,0,0,240472,64352,932735
1997,Ontario,0,0,3205528,636328,11278893
1997,Prince Edward Island,0,0,38136,8240,136165
1997,Quebec,0,0,1913616,435192,7282871
1997,Saskatchewan,0,0,308824,69096,1017426
1997,Unknown province or territory,0,0,0,0,1017426
1997,Yukon,0,0,11376,984,31556
1998,Alberta,0,0,909632,134360,2915781
1998,British Columbia,0,0,1033064,223824,3990451
1998,Manitoba,0,0,346968,78520,1138328
1998,New Brunswick,0,0,189168,50440,750708
1998,Newfoundland and Labrador,0,0,119664,33840,537908
1998,Northwest Territories,0,0,7816,576,537908
1998,Nova Scotia,0,0,232272,64544,932740
1998,Ontario,0,0,3187536,641472,11408804
