Year,Province,Metric,Value
1991,Alberta,Total PRs,0.0
1991,Alberta,Total PRs,0.0
1991,Alberta,Total PRs,0.0
1991,Alberta,Total PRs,0.0
1991,Alberta,Total PRs,0.0
1991,Alberta,Total PRs,0.0
1991,Alberta,Total PRs,0.0
1991,Alberta,Total PRs,0.0
1992,Alberta,Total PRs,0.0
1992,Alberta,Total PRs,0.0
1992,Alberta,Total PRs,0.0
1992,Alberta,Total PRs,0.0
1992,Alberta,Total PRs,0.0
1992,Alberta,Total PRs,0.0
1992,Alberta,Total PRs,0.0
1992,Alberta,Total PRs,0.0
1993,Alberta,Total PRs,0.0
1993,Alberta,Total PRs,0.0
1993,Alberta,Total PRs,0.0
1993,Alberta,Total PRs,0.0
1993,Alberta,Total PRs,0.0
1993,Alberta,Total PRs,0.0
1993,Alberta,Total PRs,0.0
1993,Alberta,Total PRs,0.0
1994,Alberta,Total PRs,0.0
1994,Alberta,Total PRs,0.0
1994,Alberta,Total PRs,0.0
1994,Alberta,Total PRs,0.0
1994,Alberta,Total PRs,0.0
1994,Alberta,Total PRs,0.0
1994,Alberta,Total PRs,0.0
1994,Alberta,Total PRs,0.0
1995,Alberta,Total PRs,0.0
1995,Alberta,Total PRs,0.0
1995,Alberta,Total PRs,0.0
1995,Alberta,Total PRs,0.0
1995,Alberta,Total PRs,0.0
1995,Alberta,Total PRs,0.0
1995,Alberta,Total PRs,0.0
1995,Alberta,Total PRs,0.0
1996,Alberta,Total PRs,0.0
1996,Alberta,Total PRs,0.0
1996,Alberta,Total PRs,0.0
1996,Alberta,Total PRs,0.0
1996,Alberta,Total PRs,0.0
1996,Alberta,Total PRs,0.0
1996,Alberta,Total PRs,0.0
1996,Alberta,Total PRs,0.0
1997,Alberta,Total PRs,0.0
1997,Alberta,Total PRs,0.0
1997,Alberta,Total PRs,0.0
1997,Alberta,Total PRs,0.0
1997,Alberta,Total PRs,0.0
1997,Alberta,Total PRs,0.0
1997,Alberta,Total PRs,0.0
1997,Alberta,Total PRs,0.0
1998,Alberta,Total PRs,0.0
1998,Alberta,Total PRs,0.0
1998,Alberta,Total PRs,0.0
1998,Alberta,Total PRs,0.0
1998,Alberta,Total PRs,0.0
1998,Alberta,Total PRs,0.0
1998,Alberta,Total PRs,0.0
1998,Alberta,Total PRs,0.0
1999,Alberta,Total PRs,0.0
