Census Metropolitan Area and Province/Territory,,2015,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q1,,,,Q2,,,,Q3,,,,Q4,,,,2015 Total,Q1,,,,Q2,,,,Q3,,,,Q4,,,,2016 Total,Q1,,,,Q2,,,,Q3,,,,Q4,,,,2017 Total,Q1,,,,Q2,,,,Q3,,,,Q4,,,,2018 Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jan,Feb,Mar,Q1 Total,Apr,May,Jun,Q2 Total,Jul,Aug,Sep,Q3 Total,Oct,Nov,Dec,Q4 Total,,Jan,Feb,Mar,Q1 Total,Apr,May,Jun,Q2 Total,Jul,Aug,Sep,Q3 Total,Oct,Nov,Dec,Q4 Total,,Jan,Feb,Mar,Q1 Total,Apr,May,Jun,Q2 Total,Jul,Aug,Sep,Q3 Total,Oct,Nov,Dec,Q4 Total,,Jan,Feb,Mar,Q1 Total,Apr,May,Jun,Q2 Total,Jul,Aug,Sep,Q3 Total,Oct,Nov,Dec,Q4 Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,"87,150","86,710","86,750","89,670","84,230","84,830","85,120","88,210","86,250","87,705","90,135","1,02,810","86,580","87,565","88,275","93,800","1,21,785","90,135","90,815","91,320","93,585","89,810","91,370","92,755","95,575","93,705","97,100","1,00,555","1,12,850","98,160","1,00,470","1,05,340","1,10,695","1,37,360","1,07,955","1,09,000","1,10,375","1,12,230","1,09,980","1,12,885","1,14,735","1,17,480","1,17,125","1,22,915","1,27,245","1,42,235","1,25,130","1,27,345","1,33,165","1,39,685","1,68,580","1,35,930","1,36,710","1,38,785","1,41,145","1,39,360","1,40,950","1,43,065","1,46,670","1,44,760","1,46,040","1,60,365","1,74,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ottawa - Gatineau (Ontario part),"9,955","9,975","9,990","10,265","9,765","9,785","9,905","10,225","10,160","11,395","11,885","13,135","11,450","11,620","11,910","12,330","15,210","12,115","12,210","12,330","12,610","12,145","12,330","12,590","12,910","12,810","13,885","14,510","15,945","14,030","14,195","14,635","15,020","18,235","14,800","14,745","14,790","15,115","14,450","14,530","14,685","15,080","14,880","16,345","17,140","18,740","16,490","16,610","17,135","17,630","21,410","17,460","17,370","17,420","17,790","17,160","17,255","17,555","18,030","17,705","19,530","20,805","22,405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kitchener - Cambridge - Waterloo,"3,670","3,755","3,840","3,905","3,870","4,130","4,305","4,370","4,915","5,755","6,805","7,280","6,800","6,990","7,225","7,580","8,530","7,380","7,505","7,600","7,720","7,660","7,950","8,320","8,460","8,645","9,735","10,670","11,325","10,630","10,825","10,935","11,660","13,155","11,055","11,145","11,305","11,410","11,335","11,640","11,820","11,980","12,425","13,955","15,035","16,145","14,900","14,970","15,180","16,200","18,335","15,370","15,420","15,615","15,855","16,185","16,395","16,715","16,995","17,280","18,965","20,620","22,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,London,"6,460","6,500","6,540","6,690","6,450","6,590","6,695","6,860","7,020","7,540","8,190","9,085","8,075","8,170","8,425","8,870","10,650","8,545","8,655","8,745","8,915","8,725","8,900","9,105","9,330","9,250","9,885","10,575","11,665","10,355","10,515","11,360","11,915","14,295","11,430","11,545","11,645","11,795","11,575","11,755","11,935","12,190","12,260","12,835","13,325","15,085","13,075","13,180","13,810","14,530","17,750","14,160","14,175","14,250","14,490","14,235","14,510","14,870","15,190","15,065","15,690","17,755","19,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hamilton,"6,690","6,695","6,715","6,855","6,510","6,605","6,625","6,855","6,765","7,555","7,465","8,765","7,195","7,330","7,670","7,955","10,435","7,805","7,885","7,935","8,070","7,745","7,870","7,940","8,275","7,875","8,820","8,945","10,225","8,725","8,850","9,405","9,645","12,460","9,550","9,575","9,640","9,750","9,355","9,415","9,475","9,690","9,680","10,335","10,625","12,350","10,370","10,440","10,820","11,100","14,130","11,060","11,070","11,100","11,265","10,845","10,875","11,070","11,460","11,160","11,585","13,205","14,505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,St. Catharines - Niagara,"3,500","3,530","3,580","3,660","3,590","3,815","3,915","4,010","4,160","4,485","4,955","5,570","4,770","4,850","4,990","5,165","6,385","5,110","5,180","5,255","5,360","5,295","5,480","5,565","5,745","5,625","6,055","6,490","7,225","6,290","6,385","6,955","7,170","8,820","7,140","7,180","7,240","7,335","7,250","7,580","7,705","7,875","7,925","8,280","8,660","9,755","8,320","8,305","8,630","9,040","11,150","8,785","8,765","8,815","9,015","8,745","8,800","8,950","9,240","9,365","10,155","11,470","12,710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Windsor,"3,515","3,460","3,455","3,625","3,340","3,325","3,320","3,475","3,460","3,675","3,925","4,485","3,760","3,820","3,935","4,215","5,620","3,985","4,045","4,075","4,190","4,070","4,200","4,265","4,370","4,305","4,695","5,105","5,550","5,040","5,165","5,510","5,745","6,780","5,670","5,700","5,740","5,840","5,720","5,900","5,935","6,070","6,060","6,685","7,090","7,785","6,795","6,905","8,370","8,805","10,440","8,865","8,840","9,120","9,250","10,280","10,540","10,605","10,775","10,635","11,205","11,830","12,725",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kingston,645,680,710,725,695,745,835,865,980,"1,310","1,660","1,805","1,695","1,770","1,795","1,910","2,155","1,870","1,935","1,980","2,005","2,000","2,105","2,285","2,340","2,425","2,690","3,070","3,385","3,020","3,070","3,180","3,430","4,065","3,250","3,255","3,345","3,395","3,375","3,640","3,785","3,855","4,025","4,485","4,885","5,385","4,845","4,945","5,005","5,275","6,190","5,060","5,075","5,130","5,210","5,180","5,270","5,400","5,585","5,520","5,850","6,570","7,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Peterborough,"1,160","1,155","1,155","1,175","1,140","1,190","1,205","1,230","1,245","1,385","1,575","1,780","1,510","1,530","1,620","1,720","2,105","1,665","1,670","1,660","1,695","1,660","1,720","1,735","1,775","1,710","1,800","1,965","2,260","1,885","1,895","2,130","2,275","2,865","2,255","2,260","2,275","2,295","2,245","2,345","2,375","2,410","2,420","2,605","2,850","3,295","2,790","2,825","3,765","3,955","4,665","4,040","4,030","4,085","4,155","4,265","4,290","4,300","4,390","4,275","4,195","4,685","5,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
