REF_DATE,Total Number of Educators,GEO
2024-01-01,39635.4724936533,Alberta
2024-01-01,25323.96043868673,British Columbia
2024-01-01,39349.610997404496,Canada
2024-01-01,39349.610997404496,Canada
2024-01-01,13732.655979249812,Manitoba
2024-01-01,12034.714663112492,New Brunswick
2024-01-01,5366.19914274055,Newfoundland and Labrador
2024-01-01,8516.900768975847,Nova Scotia
2024-01-01,140659.57210404502,Ontario
2024-01-01,4933.147457965122,Prince Edward Island
2024-01-01,296761.97008533304,Quebec
2024-01-01,18437.009169226385,Saskatchewan
2024-02-01,691954.7316359134,Alberta
2024-02-01,-26942.76302649635,British Columbia
2024-02-01,-458012.1208938266,Canada
2024-02-01,-458012.1208938266,Canada
2024-02-01,15443.845776898295,Manitoba
2024-02-01,57576.140319848346,New Brunswick
2024-02-01,-12125.023240629784,Newfoundland and Labrador
2024-02-01,73987.22961423978,Nova Scotia
2024-02-01,-594173.896152577,Ontario
2024-02-01,12937.64939380559,Prince Edward Island
2024-02-01,451024.70527420583,Quebec
2024-02-01,-240.76476535694928,Saskatchewan
2024-03-01,-47307.071788840614,Alberta
2024-03-01,-22973.3154324238,British Columbia
2024-03-01,-3678530.6732560014,Canada
2024-03-01,-3678530.6732560014,Canada
2024-03-01,27483.11280464229,Manitoba
2024-03-01,141709.18189264135,New Brunswick
2024-03-01,-20344.268536103966,Newfoundland and Labrador
2024-03-01,-35885.23225191876,Nova Scotia
2024-03-01,263724.23471262,Ontario
2024-03-01,28694.538044176905,Prince Edward Island
2024-03-01,342663.6758977503,Quebec
2024-03-01,4724.54572993428,Saskatchewan
2024-04-01,-619164.5825183567,Alberta
2024-04-01,-33299.78173708812,British Columbia
2024-04-01,4118225.516879188,Canada
2024-04-01,4118225.516879188,Canada
2024-04-01,8496.226166951526,Manitoba
2024-04-01,121228.19832482326,New Brunswick
2024-04-01,-11703.15137599635,Newfoundland and Labrador
2024-04-01,140844.33755846394,Nova Scotia
2024-04-01,5125395.0319283,Ontario
2024-04-01,24554.636522233886,Prince Edward Island
2024-04-01,270597.7985053884,Quebec
2024-04-01,12054.436883043578,Saskatchewan
2024-05-01,73950.9197403619,Alberta
2024-05-01,-58007.00752155551,British Columbia
2024-05-01,291164.1882661136,Canada
2024-05-01,291164.1882661136,Canada
2024-05-01,-10458.692299978802,Manitoba
2024-05-01,229757.19264057896,New Brunswick
2024-05-01,-2986.133817584945,Newfoundland and Labrador
2024-05-01,274954.7123512635,Nova Scotia
2024-05-01,225551.9098808295,Ontario
2024-05-01,51115.62544140626,Prince Edward Island
2024-05-01,290269.0255731851,Quebec
2024-05-01,21353.304457786013,Saskatchewan
2024-06-01,-160483.39654427842,Alberta
2024-06-01,-61241.823935583845,British Columbia
2024-06-01,-3735317.810678688,Canada
2024-06-01,-3735317.810678688,Canada
2024-06-01,-19372.442143201857,Manitoba
2024-06-01,-53775.20784006883,New Brunswick
2024-06-01,2229.1074287042356,Newfoundland and Labrador
2024-06-01,152556.96703458473,Nova Scotia
2024-06-01,-6728129.09568736,Ontario
2024-06-01,66280.32842687391,Prince Edward Island
2024-06-01,297753.7583055903,Quebec
2024-06-01,22499.19140249086,Saskatchewan
2024-07-01,39731.30094547135,Alberta
2024-07-01,-70538.26020173146,British Columbia
2024-07-01,-1178858.4566955012,Canada
2024-07-01,-1178858.4566955012,Canada
2024-07-01,-20690.584873295364,Manitoba
2024-07-01,69435.96178737495,New Brunswick
2024-07-01,3262.397398887935,Newfoundland and Labrador
