Province,Model,RMSE,MAE,R2
Prince Edward Island,Prophet,1119.1613774166153,1046.234525565481,0.7172673702390526
Prince Edward Island,RandomForest,5092.5985090588165,4555.95744680851,-4.854224616799508
Prince Edward Island,XGBoost,4804.699795652695,4319.152842420212,-4.2110233536783355
Quebec,Prophet,19066.844267219294,15613.748017855776,0.9343599176525179
Quebec,RandomForest,169804.90741724375,152758.93617021278,-4.206093373904037
Quebec,XGBoost,167106.61421369918,149612.8005319149,-4.041952598365001
Canada,Prophet,273389.54959878145,252964.97955305089,0.6446661369178555
Canada,RandomForest,1008963.8776403142,898702.1276595745,-3.839762104800183
Canada,XGBoost,1009112.1196473144,898875.7765957447,-3.8411843732675317
Alberta,Prophet,56086.66864932369,45192.58562293446,0.6907479385781095
Alberta,RandomForest,212757.3057613738,187095.91397849462,-3.4500232174550227
Alberta,XGBoost,220480.94308040015,197665.19086021505,-3.778982372040911
British Columbia,Prophet,24780.447621835763,20113.46253667812,0.8816142730973338
British Columbia,RandomForest,168207.28396384808,144065.16129032258,-4.45469720850591
British Columbia,XGBoost,152853.6536140445,122975.62365591398,-3.504355913121004
Manitoba,Prophet,19175.67683332282,15878.344700638085,-0.3363973337796011
Manitoba,RandomForest,33680.765545663235,29074.83870967742,-3.1228554181276014
Manitoba,XGBoost,29958.281081815745,24946.926075268817,-2.2618799933381104
New Brunswick,Prophet,6339.387344845462,5568.3673816049295,-1.8010230971551584
New Brunswick,RandomForest,9282.428017090848,8264.193548387097,-5.005446371240694
New Brunswick,XGBoost,8186.8119824276155,7398.3276209677415,-3.671450443039687
Newfoundland and Labrador,Prophet,7356.323892029437,6494.771423023295,-78.49133320605104
Newfoundland and Labrador,RandomForest,2075.6159857811144,1889.5698924731182,-5.3283735903532605
Newfoundland and Labrador,XGBoost,1569.2850631923957,1364.5460349462367,-2.61744367647312
Ontario,Prophet,31270.648212485063,25760.787242855215,0.9652592111037147
Ontario,RandomForest,347988.29963027476,304595.2688172043,-3.302245533559616
Ontario,XGBoost,352951.62462786445,286405.4569892473,-3.4258458035525825
