Unnamed: 0,REF_DATE,GEO,Number_of_Households,Housing completions,Housing starts,Housing under construction,House only NHPI,Land only NHPI,Total (house and land) NHPI
1071,1986-01-01,Alberta,859000,4130.0,3778.1,7477.0,28.0,22.5,26.4
1072,1986-01-01,British Columbia,1132000,9185.0,11098.4,23454.0,79.5,49.2,66.3
1073,1986-01-01,Manitoba,392000,3327.0,4076.4,10631.0,37.7,26.9,34.7
1074,1986-01-01,New Brunswick,237000,2190.0,749.3,3453.0,75.1,56.1,70.5
1075,1986-01-01,Newfoundland and Labrador,161000,1145.0,507.7,6337.0,39.4,35.3,38.7
1076,1986-01-01,Ontario,3329000,29410.0,23776.9,85761.0,33.0,44.3,36.7
1077,1986-01-01,Prince Edward Island,41000,559.0,309.1,672.0,,,
1078,1986-01-01,Quebec,2421000,19363.0,22534.8,61534.0,40.3,32.9,38.5
1079,1986-01-01,Canada,9238000,77598.0,71934.4,211817.0,39.4,38.8,39.8
1080,1986-02-01,Alberta,859000,4102.95652173913,2141.282608695652,5102.304347826087,28.5,22.5,26.8
1081,1986-02-01,British Columbia,1132000,4179.913043478261,2271.5652173913045,5184.608695652174,79.6,49.4,66.4
1082,1986-02-01,Manitoba,392000,4333.826086956522,2532.130434782609,5349.217391304348,37.9,26.9,34.8
1083,1986-02-01,New Brunswick,237000,4410.782608695652,2662.413043478261,5431.521739130435,75.3,59.8,71.6
1084,1986-02-01,Newfoundland and Labrador,161000,4487.739130434783,2792.695652173913,5513.826086956522,39.6,35.3,38.8
1085,1986-02-01,Ontario,3329000,4641.652173913044,3053.260869565217,5678.434782608696,33.7,44.8,37.3
1086,1986-02-01,Prince Edward Island,41000,4718.608695652174,3183.54347826087,5760.739130434783,,,
1087,1986-02-01,Quebec,2421000,4795.565217391304,3313.826086956522,5843.04347826087,40.5,33.6,38.8
1088,1986-02-01,Canada,9238000,4256.869565217391,2401.8478260869565,5266.913043478261,39.9,39.2,40.3
1089,1986-03-01,Alberta,859000,4949.478260869565,3574.391304347826,6007.652173913044,28.7,22.7,26.9
1090,1986-03-01,British Columbia,1132000,5026.434782608696,3704.67391304348,6089.95652173913,79.6,49.4,66.4
1091,1986-03-01,Manitoba,392000,5180.347826086956,3965.239130434783,6254.565217391304,38.1,27.1,35.0
1092,1986-03-01,New Brunswick,237000,5257.304347826087,4095.521739130435,6336.869565217391,75.3,59.8,71.6
1093,1986-03-01,Newfoundland and Labrador,161000,5334.260869565218,4225.804347826087,6419.173913043478,39.6,35.3,38.8
1094,1986-03-01,Ontario,3329000,5488.173913043478,4486.369565217392,6583.782608695652,34.2,45.0,37.7
1095,1986-03-01,Prince Edward Island,41000,5565.130434782609,4616.652173913044,6666.086956521739,,,
1096,1986-03-01,Quebec,2421000,5642.086956521739,4746.934782608696,6748.391304347826,40.8,33.6,39.0
1097,1986-03-01,Canada,9238000,5103.391304347826,3834.9565217391305,6172.260869565217,40.2,39.3,40.6
1098,1986-04-01,Alberta,859000,5796.0,5007.5,6913.0,28.6,22.7,26.9
1099,1986-04-01,British Columbia,1132000,11768.0,14340.7,26063.0,80.3,49.4,66.8
1100,1986-04-01,Manitoba,392000,5046.0,4571.4,10149.0,38.6,27.1,35.4
