REF_DATE,GEO,Number_of_Households,Housing completions,Housing starts,Housing under construction,House only NHPI,Land only NHPI,Total (house and land) NHPI
1986-01-01,Canada,9238000,10938.333333333334,9757.333333333334,27632.666666666668,39.4,38.8,39.8
1986-02-01,Canada,9238000,10938.333333333334,9757.333333333334,27632.666666666668,39.9,39.2,40.3
1986-03-01,Canada,9238000,10938.333333333334,9757.333333333334,27632.666666666668,40.2,39.3,40.6
1986-04-01,Canada,9238000,14070.0,20430.666666666668,33986.0,40.6,39.3,40.8
1986-05-01,Canada,9238000,14070.0,20430.666666666668,33986.0,40.9,39.5,41.1
1986-06-01,Canada,9238000,14070.0,20430.666666666668,33986.0,41.2,39.7,41.3
1986-07-01,Canada,9238000,18414.666666666668,18791.33333333333,34315.666666666664,41.4,39.8,41.6
1986-08-01,Canada,9238000,18414.666666666668,18791.33333333333,34315.666666666664,41.9,40.1,42.0
1986-09-01,Canada,9238000,18414.666666666668,18791.33333333333,34315.666666666664,42.9,40.6,42.8
1986-10-01,Canada,9238000,18112.0,17615.666666666668,33813.333333333336,43.4,40.6,43.2
1986-11-01,Canada,9238000,18112.0,17615.666666666668,33813.333333333336,44.1,41.0,43.8
1986-12-01,Canada,9238000,18112.0,17615.666666666668,33813.333333333336,44.4,41.0,44.0
1987-01-01,Canada,9440000,13176.666666666666,13906.333333333334,34067.0,44.8,41.1,44.4
1987-02-01,Canada,9440000,13176.666666666666,13906.333333333334,34067.0,45.9,41.3,45.2
1987-03-01,Canada,9440000,13176.666666666666,13906.333333333334,34067.0,47.3,42.7,46.6
1987-04-01,Canada,9440000,16280.666666666666,25849.666666666668,43628.66666666666,48.0,43.1,47.1
1987-05-01,Canada,9440000,16280.666666666666,25849.666666666668,43628.66666666666,48.3,43.5,47.5
1987-06-01,Canada,9440000,16280.666666666666,25849.666666666668,43628.66666666666,48.6,43.6,47.7
1987-07-01,Canada,9440000,22855.0,23115.0,43791.0,48.8,43.9,48.0
1987-08-01,Canada,9440000,22855.0,23115.0,43791.0,49.0,44.2,48.2
1987-09-01,Canada,9440000,22855.0,23115.0,43791.0,49.2,45.4,48.7
1987-10-01,Canada,9440000,20346.33333333333,19124.33333333333,42582.333333333336,49.3,45.6,48.9
1987-11-01,Canada,9440000,20346.33333333333,19124.33333333333,42582.333333333336,49.5,45.9,49.1
1987-12-01,Canada,9440000,20346.33333333333,19124.33333333333,42582.333333333336,49.5,46.1,49.1
1988-01-01,Canada,9642000,14644.0,11957.666666666666,39849.333333333336,49.7,46.4,49.3
1988-02-01,Canada,9642000,14644.0,11957.666666666666,39849.333333333336,50.1,46.9,49.8
1988-03-01,Canada,9642000,14644.0,11957.666666666666,39849.333333333336,50.6,47.4,50.3
