,REF_DATE,GEO,Number_of_Households,Housing completions,Housing starts,Housing under construction,House only NHPI,Land only NHPI,Total (house and land) NHPI
0,1976-02-01,Alberta,586,,,,,,
1,1976-02-01,British Columbia,851,,,,,,
2,1976-02-01,Manitoba,332,,,,,,
3,1976-02-01,New Brunswick,194,,,,,,
4,1976-02-01,Newfoundland and Labrador,133,,,,,,
5,1976-02-01,Ontario,2682,,,,,,
6,1976-02-01,Prince Edward Island,33,,,,,,
7,1976-02-01,Quebec,1943,,,,,,
8,1976-02-01,Canada,7294,,,,,,
9,1976-03-01,Alberta,586,,,,,,
10,1976-03-01,British Columbia,851,,,,,,
11,1976-03-01,Manitoba,332,,,,,,
12,1976-03-01,New Brunswick,194,,,,,,
13,1976-03-01,Newfoundland and Labrador,133,,,,,,
14,1976-03-01,Ontario,2682,,,,,,
15,1976-03-01,Prince Edward Island,33,,,,,,
16,1976-03-01,Quebec,1943,,,,,,
17,1976-03-01,Canada,7294,,,,,,
18,1976-04-01,Alberta,586,,,,,,
19,1976-04-01,British Columbia,851,,,,,,
20,1976-04-01,Manitoba,332,,,,,,
21,1976-04-01,New Brunswick,194,,,,,,
22,1976-04-01,Newfoundland and Labrador,133,,,,,,
23,1976-04-01,Ontario,2682,,,,,,
24,1976-04-01,Prince Edward Island,33,,,,,,
25,1976-04-01,Quebec,1943,,,,,,
26,1976-04-01,Canada,7294,,,,,,
27,1976-05-01,Alberta,586,,,,,,
28,1976-05-01,British Columbia,851,,,,,,
29,1976-05-01,Manitoba,332,,,,,,
30,1976-05-01,New Brunswick,194,,,,,,
31,1976-05-01,Newfoundland and Labrador,133,,,,,,
32,1976-05-01,Ontario,2682,,,,,,
33,1976-05-01,Prince Edward Island,33,,,,,,
34,1976-05-01,Quebec,1943,,,,,,
35,1976-05-01,Canada,7294,,,,,,
36,1976-06-01,Alberta,586,,,,,,
37,1976-06-01,British Columbia,851,,,,,,
38,1976-06-01,Manitoba,332,,,,,,
39,1976-06-01,New Brunswick,194,,,,,,
40,1976-06-01,Newfoundland and Labrador,133,,,,,,
41,1976-06-01,Ontario,2682,,,,,,
42,1976-06-01,Prince Edward Island,33,,,,,,
43,1976-06-01,Quebec,1943,,,,,,
44,1976-06-01,Canada,7294,,,,,,
45,1976-07-01,Alberta,586,,,,,,
46,1976-07-01,British Columbia,851,,,,,,
47,1976-07-01,Manitoba,332,,,,,,
48,1976-07-01,New Brunswick,194,,,,,,
49,1976-07-01,Newfoundland and Labrador,133,,,,,,
50,1976-07-01,Ontario,2682,,,,,,
51,1976-07-01,Prince Edward Island,33,,,,,,
52,1976-07-01,Quebec,1943,,,,,,
53,1976-07-01,Canada,7294,,,,,,
54,1976-08-01,Alberta,586,,,,,,
55,1976-08-01,British Columbia,851,,,,,,
