Date,GEO,Number_of_Households
2024-11-01,Prince Edward Island,68353.45926488946
2024-12-01,Prince Edward Island,68419.14888615355
2025-01-01,Prince Edward Island,68487.02816145978
2025-02-01,Prince Edward Island,68554.907436766
2025-03-01,Prince Edward Island,68616.21774994582
2025-04-01,Prince Edward Island,68684.09702525205
2025-05-01,Prince Edward Island,68749.78664651615
2025-06-01,Prince Edward Island,68817.66592182236
2025-07-01,Prince Edward Island,68883.35554308647
2025-08-01,Prince Edward Island,68951.2348183927
2025-09-01,Prince Edward Island,69019.11409369891
2025-10-01,Prince Edward Island,69084.80371496301
2025-11-01,Prince Edward Island,69152.68299026924
2025-12-01,Prince Edward Island,69218.37261153333
2026-01-01,Prince Edward Island,69286.25188683956
2026-02-01,Prince Edward Island,69354.13116214579
2026-03-01,Prince Edward Island,69415.4414753256
2026-04-01,Prince Edward Island,69483.32075063183
2026-05-01,Prince Edward Island,69549.01037189591
2026-06-01,Prince Edward Island,69616.88964720214
2026-07-01,Prince Edward Island,69682.57926846623
2026-08-01,Prince Edward Island,69750.45854377246
2026-09-01,Prince Edward Island,69818.33781907869
2026-10-01,Prince Edward Island,69884.02744034278
2026-11-01,Prince Edward Island,69951.906715649
2026-12-01,Prince Edward Island,70017.5963369131
2027-01-01,Prince Edward Island,70085.47561221932
2027-02-01,Prince Edward Island,70153.35488752555
2027-03-01,Prince Edward Island,70214.66520070536
2027-04-01,Prince Edward Island,70282.5444760116
2027-05-01,Prince Edward Island,70348.2340972757
2027-06-01,Prince Edward Island,70416.11337258191
2027-07-01,Prince Edward Island,70481.80299384601
2027-08-01,Prince Edward Island,70549.68226915224
2027-09-01,Prince Edward Island,70617.56154445847
2027-10-01,Prince Edward Island,70683.25116572256
2027-11-01,Prince Edward Island,70751.13044102878
2027-12-01,Prince Edward Island,70816.82006229287
2028-01-01,Prince Edward Island,70884.6993375991
2028-02-01,Prince Edward Island,70952.57861290533
2028-03-01,Prince Edward Island,71016.07858012727
2028-04-01,Prince Edward Island,71083.9578554335
2028-05-01,Prince Edward Island,71149.6474766976
2028-06-01,Prince Edward Island,71217.52675200382
2028-07-01,Prince Edward Island,71283.21637326792
2028-08-01,Prince Edward Island,71351.09564857415
2028-09-01,Prince Edward Island,71418.97492388036
2028-10-01,Prince Edward Island,71484.66454514446
2028-11-01,Prince Edward Island,71552.5438204507
2028-12-01,Prince Edward Island,71618.23344171478
2029-01-01,Prince Edward Island,71686.11271702101
2029-02-01,Prince Edward Island,71753.99199232724
2029-03-01,Prince Edward Island,71815.30230550707
2029-04-01,Prince Edward Island,71883.18158081328
2029-05-01,Prince Edward Island,71948.87120207738
2029-06-01,Prince Edward Island,72016.7504773836
2029-07-01,Prince Edward Island,72082.4400986477
2029-08-01,Prince Edward Island,72150.31937395391
2029-09-01,Prince Edward Island,72218.19864926014
2029-10-01,Prince Edward Island,72283.88827052424
2029-11-01,Prince Edward Island,72351.76754583046
2029-12-01,Prince Edward Island,72417.45716709456
2030-01-01,Prince Edward Island,72485.33644240077
2030-02-01,Prince Edward Island,72553.215717707
2030-03-01,Prince Edward Island,72614.52603088682
2030-04-01,Prince Edward Island,72682.40530619305
2030-05-01,Prince Edward Island,72748.09492745715
2030-06-01,Prince Edward Island,72815.97420276336
2030-07-01,Prince Edward Island,72881.66382402746
2030-08-01,Prince Edward Island,72949.54309933368
2030-09-01,Prince Edward Island,73017.42237463991
2030-10-01,Prince Edward Island,73083.11199590401
2030-11-01,Prince Edward Island,73150.99127121022
2030-12-01,Prince Edward Island,73216.68089247432
2031-01-01,Prince Edward Island,73284.56016778057
2031-02-01,Prince Edward Island,73352.43944308677
2031-03-01,Prince Edward Island,73413.74975626661
2031-04-01,Prince Edward Island,73481.62903157283
2031-05-01,Prince Edward Island,73547.31865283693
2031-06-01,Prince Edward Island,73615.19792814314
2031-07-01,Prince Edward Island,73680.88754940726
2031-08-01,Prince Edward Island,73748.76682471347
2031-09-01,Prince Edward Island,73816.64610001969
2031-10-01,Prince Edward Island,73882.3357212838
2031-11-01,Prince Edward Island,73950.21499659
2031-12-01,Prince Edward Island,74015.9046178541
2032-01-01,Prince Edward Island,74083.78389316035
2032-02-01,Prince Edward Island,74151.66316846655
2032-03-01,Prince Edward Island,74215.1631356885
2032-04-01,Prince Edward Island,74283.04241099475
2032-05-01,Prince Edward Island,74348.73203225883
2032-06-01,Prince Edward Island,74416.61130756506
2032-07-01,Prince Edward Island,74482.30092882915
2032-08-01,Prince Edward Island,74550.18020413538
2032-09-01,Prince Edward Island,74618.05947944161
