Date,Province,Forecast
2024-11-01,Prince Edward Island,67999.9147855867
2024-12-01,Prince Edward Island,67999.76321689229
2025-01-01,Prince Edward Island,67999.74455282156
2025-02-01,Prince Edward Island,67999.73360115921
2025-03-01,Prince Edward Island,67999.73148542404
2025-04-01,Prince Edward Island,67999.73062609576
2025-05-01,Prince Edward Island,67999.73042013671
2025-06-01,Prince Edward Island,67999.7303491676
2025-07-01,Prince Edward Island,67999.73033024266
2025-08-01,Prince Edward Island,67999.73032421173
2025-09-01,Prince Edward Island,67999.73032251623
2025-10-01,Prince Edward Island,67999.730321996
2025-11-01,Prince Edward Island,67999.73032184588
2025-12-01,Prince Edward Island,67999.73032180066
2026-01-01,Prince Edward Island,67999.73032178744
2026-02-01,Prince Edward Island,67999.73032178349
2026-03-01,Prince Edward Island,67999.73032178232
2026-04-01,Prince Edward Island,67999.73032178197
2026-05-01,Prince Edward Island,67999.73032178188
2026-06-01,Prince Edward Island,67999.73032178186
2026-07-01,Prince Edward Island,67999.73032178186
2026-08-01,Prince Edward Island,67999.73032178186
2026-09-01,Prince Edward Island,67999.73032178186
2026-10-01,Prince Edward Island,67999.73032178186
2026-11-01,Prince Edward Island,67999.73032178186
2026-12-01,Prince Edward Island,67999.73032178186
2027-01-01,Prince Edward Island,67999.73032178186
2027-02-01,Prince Edward Island,67999.73032178186
2027-03-01,Prince Edward Island,67999.73032178186
2027-04-01,Prince Edward Island,67999.73032178186
2027-05-01,Prince Edward Island,67999.73032178186
2027-06-01,Prince Edward Island,67999.73032178186
2027-07-01,Prince Edward Island,67999.73032178186
2027-08-01,Prince Edward Island,67999.73032178186
2027-09-01,Prince Edward Island,67999.73032178186
2027-10-01,Prince Edward Island,67999.73032178186
2027-11-01,Prince Edward Island,67999.73032178186
2027-12-01,Prince Edward Island,67999.73032178186
2028-01-01,Prince Edward Island,67999.73032178186
2028-02-01,Prince Edward Island,67999.73032178186
2028-03-01,Prince Edward Island,67999.73032178186
2028-04-01,Prince Edward Island,67999.73032178186
2028-05-01,Prince Edward Island,67999.73032178186
2028-06-01,Prince Edward Island,67999.73032178186
2028-07-01,Prince Edward Island,67999.73032178186
2028-08-01,Prince Edward Island,67999.73032178186
2028-09-01,Prince Edward Island,67999.73032178186
2028-10-01,Prince Edward Island,67999.73032178186
2028-11-01,Prince Edward Island,67999.73032178186
2028-12-01,Prince Edward Island,67999.73032178186
2029-01-01,Prince Edward Island,67999.73032178186
2029-02-01,Prince Edward Island,67999.73032178186
2029-03-01,Prince Edward Island,67999.73032178186
2029-04-01,Prince Edward Island,67999.73032178186
2029-05-01,Prince Edward Island,67999.73032178186
2029-06-01,Prince Edward Island,67999.73032178186
2029-07-01,Prince Edward Island,67999.73032178186
2029-08-01,Prince Edward Island,67999.73032178186
2029-09-01,Prince Edward Island,67999.73032178186
2029-10-01,Prince Edward Island,67999.73032178186
2029-11-01,Prince Edward Island,67999.73032178186
2029-12-01,Prince Edward Island,67999.73032178186
2030-01-01,Prince Edward Island,67999.73032178186
2030-02-01,Prince Edward Island,67999.73032178186
2030-03-01,Prince Edward Island,67999.73032178186
2030-04-01,Prince Edward Island,67999.73032178186
2030-05-01,Prince Edward Island,67999.73032178186
2030-06-01,Prince Edward Island,67999.73032178186
2030-07-01,Prince Edward Island,67999.73032178186
2030-08-01,Prince Edward Island,67999.73032178186
2030-09-01,Prince Edward Island,67999.73032178186
2030-10-01,Prince Edward Island,67999.73032178186
2030-11-01,Prince Edward Island,67999.73032178186
2030-12-01,Prince Edward Island,67999.73032178186
2031-01-01,Prince Edward Island,67999.73032178186
2031-02-01,Prince Edward Island,67999.73032178186
2031-03-01,Prince Edward Island,67999.73032178186
2031-04-01,Prince Edward Island,67999.73032178186
2031-05-01,Prince Edward Island,67999.73032178186
2031-06-01,Prince Edward Island,67999.73032178186
2031-07-01,Prince Edward Island,67999.73032178186
2031-08-01,Prince Edward Island,67999.73032178186
2031-09-01,Prince Edward Island,67999.73032178186
2031-10-01,Prince Edward Island,67999.73032178186
2031-11-01,Prince Edward Island,67999.73032178186
2031-12-01,Prince Edward Island,67999.73032178186
2032-01-01,Prince Edward Island,67999.73032178186
2032-02-01,Prince Edward Island,67999.73032178186
2032-03-01,Prince Edward Island,67999.73032178186
2032-04-01,Prince Edward Island,67999.73032178186
2032-05-01,Prince Edward Island,67999.73032178186
2032-06-01,Prince Edward Island,67999.73032178186
2032-07-01,Prince Edward Island,67999.73032178186
2032-08-01,Prince Edward Island,67999.73032178186
2032-09-01,Prince Edward Island,67999.73032178186
2032-10-01,Prince Edward Island,67999.73032178186
2032-11-01,Prince Edward Island,67999.73032178186
2032-12-01,Prince Edward Island,67999.73032178186
2033-01-01,Prince Edward Island,67999.73032178186
2033-02-01,Prince Edward Island,67999.73032178186
2033-03-01,Prince Edward Island,67999.73032178186
2033-04-01,Prince Edward Island,67999.73032178186
2033-05-01,Prince Edward Island,67999.73032178186
2033-06-01,Prince Edward Island,67999.73032178186
2033-07-01,Prince Edward Island,67999.73032178186
2033-08-01,Prince Edward Island,67999.73032178186
2033-09-01,Prince Edward Island,67999.73032178186
2033-10-01,Prince Edward Island,67999.73032178186
2033-11-01,Prince Edward Island,67999.73032178186
2033-12-01,Prince Edward Island,67999.73032178186
2034-01-01,Prince Edward Island,67999.73032178186
2034-02-01,Prince Edward Island,67999.73032178186
2034-03-01,Prince Edward Island,67999.73032178186
2034-04-01,Prince Edward Island,67999.73032178186
2034-05-01,Prince Edward Island,67999.73032178186
2034-06-01,Prince Edward Island,67999.73032178186
2034-07-01,Prince Edward Island,67999.73032178186
2034-08-01,Prince Edward Island,67999.73032178186
2034-09-01,Prince Edward Island,67999.73032178186
2034-10-01,Prince Edward Island,67999.73032178186
2024-11-01,Quebec,3908000.0401753737
2024-12-01,Quebec,3907999.9886842864
2025-01-01,Quebec,3907999.9699344896
2025-02-01,Quebec,3907999.964845229
2025-03-01,Quebec,3907999.9635893414
2025-04-01,Quebec,3907999.963291578
2025-05-01,Quebec,3907999.9632222746
2025-06-01,Quebec,3907999.9632062884
2025-07-01,Quebec,3907999.963202617
2025-08-01,Quebec,3907999.963201776
2025-09-01,Quebec,3907999.9632015834
2025-10-01,Quebec,3907999.9632015396
2025-11-01,Quebec,3907999.9632015293
2025-12-01,Quebec,3907999.9632015275
2026-01-01,Quebec,3907999.9632015266
2026-02-01,Quebec,3907999.9632015266
2026-03-01,Quebec,3907999.9632015266
2026-04-01,Quebec,3907999.9632015266
2026-05-01,Quebec,3907999.9632015266
2026-06-01,Quebec,3907999.9632015266
2026-07-01,Quebec,3907999.9632015266
2026-08-01,Quebec,3907999.9632015266
2026-09-01,Quebec,3907999.9632015266
2026-10-01,Quebec,3907999.9632015266
2026-11-01,Quebec,3907999.9632015266
2026-12-01,Quebec,3907999.9632015266
2027-01-01,Quebec,3907999.9632015266
2027-02-01,Quebec,3907999.9632015266
2027-03-01,Quebec,3907999.9632015266
2027-04-01,Quebec,3907999.9632015266
2027-05-01,Quebec,3907999.9632015266
2027-06-01,Quebec,3907999.9632015266
2027-07-01,Quebec,3907999.9632015266
2027-08-01,Quebec,3907999.9632015266
2027-09-01,Quebec,3907999.9632015266
2027-10-01,Quebec,3907999.9632015266
2027-11-01,Quebec,3907999.9632015266
2027-12-01,Quebec,3907999.9632015266
2028-01-01,Quebec,3907999.9632015266
2028-02-01,Quebec,3907999.9632015266
2028-03-01,Quebec,3907999.9632015266
2028-04-01,Quebec,3907999.9632015266
2028-05-01,Quebec,3907999.9632015266
2028-06-01,Quebec,3907999.9632015266
2028-07-01,Quebec,3907999.9632015266
2028-08-01,Quebec,3907999.9632015266
2028-09-01,Quebec,3907999.9632015266
2028-10-01,Quebec,3907999.9632015266
2028-11-01,Quebec,3907999.9632015266
2028-12-01,Quebec,3907999.9632015266
2029-01-01,Quebec,3907999.9632015266
